Date,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5,Total
6/24/12,9,36,8,13,0,66
7/1/12,8,43,18,7,1,77
7/8/12,2,21,4,2,5,34
7/15/12,3,5,3,2,1,14
7/31/12,0,7,2,3,0,12
8/1/12,0,1,0,0,0,1
8/2/12,0,1,0,0,0,1
