Date,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5,Total
6/24/12,0,6,7,5,2,20
7/1/12,1,17,24,14,0,56
7/8/12,2,9,12,8,2,33
7/15/12,5,20,16,15,1,57
7/31/12,1,9,17,18,1,56
8/1/12,1,8,16,9,0,34
