Date,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5,Total
7/16/12,5,52,95,0,30,182
7/17/12,5,53,95,0,30,183
7/18/12,5,56,96,0,29,186
7/19/12,5,59,97,0,31,192
7/20/12,5,59,94,0,31,189
7/26/12,5,64,94,0,40,203
7/27/12,5,63,89,0,40,197
7/30/12,5,61,88,0,40,194
7/31/12,5,62,87,0,39,188
8/1/12,4,64,87,0,38,193
8/2/12,4,68,87,0,39,198
