Date, Open, High, Security
7/20/2012,33,14,0
7/13/2012,24,13,0
7/6/2012,31,18,0
6/29/2012,31,18,0
6/22/2012,98,71,2
6/15/2012,85,63,0
6/8/2012,33,13,0
6/1/2012,33,13,0
