Date,Open,High, Security
7/20/2012,49,11,2
7/13/2012,49,11,2
7/6/2012,49,11,2
6/29/2012,49,11,2
6/22/2012,49,11,2
6/15/2012,49,11,2
6/8/2012,49,11,2
6/1/2012,49,11,2
